iter	MultiClass
0	1.089452289
1	1.08292585
2	1.076235067
3	1.070372051
4	1.065358871
5	1.060235108
6	1.05698083
7	1.053428515
8	1.049735287
9	1.046334818
10	1.04237599
11	1.039459466
12	1.036176426
13	1.032791243
14	1.030813898
15	1.028161851
16	1.025461433
17	1.02380435
18	1.020993864
19	1.019727515
20	1.016738864
21	1.015728421
22	1.014793051
23	1.013476231
24	1.011284756
25	1.009679829
26	1.008409443
27	1.006830089
28	1.005423684
29	1.004316754
30	1.003017931
31	1.001297806
32	0.9996427407
33	0.9991027618
34	0.9981099467
35	0.9972786157
36	0.995313944
37	0.9942032133
38	0.9917373146
39	0.9900529658
40	0.9885210131
41	0.9877421225
42	0.986579948
43	0.9851959113
44	0.9841671493
45	0.9830124624
46	0.9824703477
47	0.9812907344
48	0.9791892493
49	0.9772871869
50	0.9755475942
51	0.9737794423
52	0.9724788935
53	0.9714998833
54	0.9699976365
55	0.9685823153
56	0.9671513073
57	0.9660941028
58	0.9654486575
59	0.9643844438
60	0.9629892741
61	0.9618818006
62	0.9611171447
63	0.9604717532
64	0.9585016502
65	0.9572529853
66	0.9565509709
67	0.9557694474
68	0.9543175064
69	0.9533362958
70	0.952654116
71	0.9517343393
72	0.9508108799
73	0.9487575885
74	0.9474289499
75	0.9469364061
76	0.945874419
77	0.9451071501
78	0.9440070407
79	0.9425174286
80	0.9410859705
81	0.9397046193
82	0.9387231693
83	0.9373128043
84	0.9361894852
85	0.9356801041
86	0.9340449107
87	0.9329062868
88	0.9319284539
89	0.9309343349
90	0.9300924658
91	0.9286251195
92	0.9281855959
93	0.9260086845
94	0.9244393759
95	0.9230273416
96	0.9224389326
97	0.9205508951
98	0.9196940101
99	0.9185825805
100	0.9175151192
101	0.9168569428
102	0.9157682413
103	0.9138503903
104	0.9122735661
105	0.9106945384
106	0.9090622383
107	0.9085987197
108	0.9080170832
109	0.9057375442
110	0.9043909185
111	0.9038167308
112	0.9021208692
113	0.90078601
114	0.8998739202
115	0.898836259
116	0.8967776071
117	0.8958831985
118	0.8946349204
119	0.8935422629
120	0.8924420186
121	0.8915885226
122	0.8904671334
123	0.8893334616
124	0.8879766274
125	0.8872867906
126	0.8860541975
127	0.8849557787
128	0.8838792215
129	0.8824385205
130	0.8806923139
131	0.8795026575
132	0.8786036627
133	0.8769512059
134	0.8756676117
135	0.8747383908
136	0.8727225275
137	0.8722203726
138	0.8713139521
139	0.8692839046
140	0.8685988217
141	0.86718212
142	0.8658586685
143	0.8649082484
144	0.8634686524
145	0.861552879
146	0.8595603086
147	0.8589351517
148	0.8585365259
149	0.8572813859
150	0.8556167624
151	0.8543704493
152	0.8528608142
153	0.8516270792
154	0.8500055519
155	0.8488945258
156	0.8478312082
157	0.8467190695
158	0.8456933246
159	0.8444221611
160	0.8438615998
161	0.8427226265
162	0.8408281313
163	0.8398542797
164	0.8383829834
165	0.837635094
166	0.8362563174
167	0.8354342144
168	0.8337835756
169	0.8331283536
170	0.8316947066
171	0.8296453006
172	0.8285319833
173	0.8278979492
174	0.8265969399
175	0.8257101029
176	0.8248318359
177	0.8236662041
178	0.822894659
179	0.8208054702
180	0.8190492492
181	0.8179934656
182	0.8171808611
183	0.8163652297
184	0.8151938562
185	0.8143866485
186	0.8134622798
187	0.8122949512
188	0.8116818984
189	0.810798887
190	0.8098999375
191	0.8088862589
192	0.807787232
193	0.8063138595
194	0.8054112692
195	0.8042850024
196	0.8034032392
197	0.8019649718
198	0.8007674956
199	0.7993942724
200	0.797856972
201	0.7968243396
202	0.7958711846
203	0.7939186618
204	0.7926746647
205	0.7918684293
206	0.7906870745
207	0.7900440746
208	0.7890410318
209	0.7882891514
210	0.7867452696
211	0.7861091931
212	0.7853234235
213	0.7848097921
214	0.7838325813
215	0.7832284309
216	0.7824210038
217	0.7818088996
218	0.7809935845
219	0.780327128
220	0.7788694405
221	0.7781533165
222	0.7775818403
223	0.7762994655
224	0.7752118824
225	0.7741711541
226	0.7732172792
227	0.7720489545
228	0.7711198072
229	0.7699728565
230	0.7684316756
231	0.7669083705
232	0.7659985408
233	0.7648318379
234	0.7635981438
235	0.7629127952
236	0.7621153485
237	0.7611160105
238	0.7599873545
239	0.7593217538
240	0.7583141309
241	0.7567358621
242	0.7560226142
243	0.7553110043
244	0.7543307272
245	0.7531231107
246	0.7514295544
247	0.7506639381
248	0.74977066
249	0.7485932555
250	0.7474658623
251	0.7467645874
252	0.7461304268
253	0.7452692965
254	0.7447911418
255	0.7436431222
256	0.7430537306
257	0.7423499279
258	0.7418829227
259	0.740144649
260	0.7395076844
261	0.7388720513
262	0.7378265231
263	0.7368029971
264	0.7363508045
265	0.7350743161
266	0.7345190237
267	0.7332469424
268	0.732424918
269	0.7318751526
270	0.7297677498
271	0.728992226
272	0.7282168
273	0.7274024774
274	0.7262866659
275	0.7245989744
276	0.7240808583
277	0.7234783217
278	0.7228530439
279	0.7218351352
280	0.7214367446
281	0.720734736
282	0.7199960081
283	0.7192026991
284	0.7186333756
285	0.7182657195
286	0.7176523095
287	0.7165759364
288	0.715630107
289	0.7149322734
290	0.7139147929
291	0.7134220206
292	0.7126299962
293	0.712015433
294	0.7112565382
295	0.7104325046
296	0.7095910764
297	0.7087654623
298	0.7078209527
299	0.7061997658
300	0.7054375259
301	0.7043801216
302	0.7038575486
303	0.7032668783
304	0.7017097412
305	0.7005677959
306	0.6995746117
307	0.6987962975
308	0.6980397765
309	0.6975041606
310	0.6964930356
311	0.6960013001
312	0.6955220289
313	0.6941603141
314	0.6933928888
315	0.6927450956
316	0.6916951863
317	0.6912392569
318	0.6905665385
319	0.6895398936
320	0.6882972872
321	0.6874942422
322	0.6864014139
323	0.6855624514
324	0.6848264883
325	0.6839392172
326	0.6833536028
327	0.6825195959
328	0.6817685275
329	0.6802433081
330	0.6797472041
331	0.6793455856
332	0.6783018548
333	0.6779654467
334	0.6769556652
335	0.6756907033
336	0.6745851857
337	0.6736635862
338	0.6727709906
339	0.6721044553
340	0.6711378167
341	0.6698680249
342	0.6684768637
343	0.6673265548
344	0.6663876357
345	0.665318285
346	0.6641731561
