iter	Passed	Remaining
0	7	7645
1	13	6664
2	19	6490
3	25	6431
4	31	6169
5	37	6165
6	41	5926
7	46	5727
8	51	5724
9	57	5677
10	62	5639
11	69	5730
12	74	5678
13	79	5592
14	85	5625
15	90	5566
16	95	5497
17	100	5503
18	106	5477
19	110	5409
20	116	5449
21	122	5434
22	126	5384
23	132	5387
24	138	5384
25	142	5347
26	149	5383
27	154	5367
28	160	5369
29	167	5418
30	173	5415
31	177	5384
32	183	5383
33	189	5375
34	194	5365
35	199	5350
36	204	5322
37	209	5297
38	215	5302
39	220	5280
40	225	5263
41	231	5275
42	235	5251
43	240	5225
44	246	5229
45	252	5226
46	258	5236
47	264	5236
48	268	5216
49	273	5200
50	279	5202
51	284	5183
52	289	5168
53	295	5174
54	299	5152
55	304	5133
56	310	5140
57	315	5127
58	320	5104
59	326	5108
60	330	5094
61	335	5076
62	341	5081
63	346	5064
64	351	5049
65	356	5045
66	361	5035
67	366	5027
68	372	5028
69	378	5023
70	382	5008
71	388	5009
72	393	4998
73	398	4984
74	403	4976
75	410	4986
76	424	5083
77	428	5068
78	433	5055
79	440	5063
80	445	5049
81	449	5034
82	455	5037
83	461	5029
84	467	5035
85	474	5037
86	479	5030
87	484	5024
88	489	5015
89	494	5002
90	499	4990
91	506	5002
92	512	4996
93	519	5011
94	526	5011
95	532	5011
96	537	5005
97	542	4990
98	546	4977
99	552	4976
100	558	4966
101	564	4968
102	570	4967
103	575	4954
104	580	4944
105	585	4941
106	590	4931
107	596	4925
108	602	4926
109	607	4915
110	612	4907
111	618	4902
112	622	4889
113	628	4880
114	633	4876
115	638	4863
116	642	4852
117	649	4851
118	653	4840
119	658	4829
120	664	4827
121	669	4818
122	676	4821
123	682	4821
124	688	4817
125	694	4817
126	701	4819
127	706	4812
128	713	4817
129	718	4808
130	723	4800
131	730	4800
132	735	4794
133	741	4790
134	747	4792
135	753	4789
136	761	4799
137	768	4797
138	777	4812
139	783	4811
140	788	4805
141	795	4807
142	801	4801
143	807	4801
144	813	4798
145	819	4792
146	826	4794
147	831	4786
148	835	4774
149	842	4771
150	847	4763
151	852	4753
152	858	4751
153	863	4744
154	870	4743
155	877	4745
156	882	4739
157	889	4741
158	896	4740
159	901	4733
160	907	4729
161	912	4719
162	917	4713
163	923	4710
164	928	4701
165	933	4690
166	939	4688
167	944	4678
168	949	4668
169	955	4665
170	960	4656
171	965	4646
172	971	4642
173	976	4634
174	983	4638
175	989	4634
176	994	4624
177	1000	4619
178	1006	4615
179	1010	4605
180	1017	4603
181	1022	4594
182	1026	4583
183	1032	4578
184	1038	4574
185	1042	4564
186	1048	4558
187	1053	4551
188	1058	4541
189	1063	4533
190	1068	4527
191	1073	4517
192	1078	4508
193	1083	4503
194	1089	4496
195	1095	4493
196	1101	4490
197	1107	4485
198	1113	4482
199	1118	4475
200	1123	4465
201	1129	4460
202	1135	4459
203	1141	4455
204	1149	4458
205	1155	4453
206	1162	4451
207	1190	4532
208	1210	4580
209	1230	4629
210	1245	4658
211	1268	4716
212	1282	4737
213	1287	4729
214	1294	4726
215	1303	4731
216	1315	4746
217	1321	4739
218	1328	4737
219	1334	4729
220	1341	4728
221	1347	4723
222	1353	4715
223	1359	4711
224	1364	4701
225	1369	4690
226	1375	4684
227	1381	4676
228	1386	4666
229	1392	4661
230	1397	4653
231	1403	4645
232	1409	4639
233	1414	4629
234	1418	4619
235	1424	4613
236	1430	4604
237	1436	4597
238	1442	4593
239	1448	4586
240	1454	4579
241	1460	4573
242	1464	4563
243	1470	4556
244	1475	4546
245	1480	4537
246	1486	4530
247	1491	4522
248	1496	4513
249	1503	4509
250	1508	4501
251	1513	4491
252	1518	4484
253	1524	4476
254	1528	4466
255	1534	4458
256	1540	4454
257	1546	4447
258	1553	4443
259	1558	4435
260	1562	4425
261	1569	4420
262	1574	4411
263	1578	4401
264	1584	4395
265	1589	4386
266	1594	4376
267	1600	4370
268	1604	4360
269	1609	4351
270	1615	4344
271	1620	4336
272	1624	4326
273	1629	4318
274	1635	4311
275	1640	4304
276	1647	4299
277	1652	4291
278	1657	4282
279	1662	4275
280	1667	4267
281	1672	4258
282	1677	4249
283	1683	4244
284	1688	4235
285	1692	4226
286	1698	4220
287	1703	4211
288	1708	4202
289	1714	4196
290	1718	4188
291	1723	4178
292	1729	4173
293	1735	4166
294	1741	4160
295	1746	4154
296	1751	4145
297	1755	4136
298	1762	4131
299	1767	4123
300	1771	4114
301	1777	4109
302	1782	4100
303	1787	4092
304	1793	4087
305	1798	4079
306	1803	4070
307	1809	4065
308	1814	4057
309	1819	4048
310	1825	4043
311	1831	4038
312	1836	4031
313	1843	4027
314	1848	4019
315	1853	4011
316	1859	4006
317	1863	3997
318	1868	3988
319	1874	3983
320	1879	3976
321	1884	3968
322	1890	3962
323	1895	3954
324	1900	3946
325	1905	3940
326	1910	3932
327	1915	3924
328	1920	3917
329	1926	3911
330	1930	3902
331	1936	3895
332	1941	3889
333	1946	3882
334	1952	3876
335	1957	3869
336	1962	3860
337	1967	3853
338	1973	3848
339	1978	3839
340	1983	3832
341	1988	3826
342	1993	3818
343	1998	3810
344	2004	3805
345	2008	3797
346	2013	3789
347	2019	3784
348	2024	3776
349	2028	3768
350	2034	3762
351	2039	3754
352	2045	3749
353	2051	3743
354	2056	3735
355	2060	3727
356	2066	3722
357	2071	3715
358	2076	3707
359	2082	3702
360	2087	3695
361	2092	3687
362	2097	3681
363	2103	3674
364	2107	3666
365	2113	3660
366	2118	3654
367	2123	3646
368	2128	3639
369	2135	3635
370	2141	3630
371	2147	3625
372	2152	3618
373	2157	3610
374	2163	3605
375	2168	3598
376	2173	3591
377	2178	3584
378	2184	3579
379	2191	3575
380	2198	3571
381	2204	3565
382	2209	3560
383	2216	3555
384	2221	3549
385	2227	3543
386	2233	3537
387	2239	3532
388	2246	3528
389	2251	3521
390	2256	3514
391	2261	3508
392	2266	3501
393	2271	3494
394	2277	3488
395	2282	3481
396	2286	3473
397	2293	3468
398	2298	3462
399	2304	3457
400	2311	3452
401	2316	3445
402	2322	3439
403	2328	3435
404	2333	3428
405	2340	3424
406	2346	3418
407	2353	3414
408	2360	3411
409	2366	3404
410	2372	3400
411	2378	3394
412	2383	3388
413	2390	3383
414	2396	3377
415	2401	3371
416	2408	3366
417	2413	3361
418	2420	3355
419	2425	3349
420	2431	3343
421	2437	3338
422	2443	3333
423	2450	3328
424	2457	3324
425	2462	3318
426	2470	3314
427	2476	3309
428	2482	3303
429	2488	3298
430	2494	3292
431	2500	3287
432	2506	3281
433	2511	3275
434	2518	3270
435	2524	3265
436	2529	3258
437	2536	3254
438	2540	3247
439	2545	3239
440	2551	3234
441	2556	3227
442	2562	3222
443	2568	3216
444	2573	3209
445	2578	3202
446	2583	3196
447	2588	3189
448	2593	3182
449	2599	3177
450	2604	3169
451	2608	3162
452	2614	3157
453	2619	3150
454	2624	3143
455	2630	3138
456	2635	3131
457	2640	3124
458	2646	3119
459	2651	3112
460	2656	3105
461	2662	3100
462	2667	3094
463	2673	3087
464	2679	3082
465	2684	3075
466	2688	3068
467	2694	3063
468	2700	3057
469	2704	3049
470	2710	3044
471	2715	3037
472	2720	3031
473	2726	3025
474	2731	3018
475	2735	3011
476	2740	3005
477	2746	2999
478	2751	2992
479	2756	2986
480	2761	2980
481	2767	2973
482	2773	2969
483	2779	2962
484	2783	2956
485	2788	2949
486	2795	2944
487	2800	2938
488	2806	2932
489	2812	2927
490	2817	2920
491	2824	2916
492	2829	2910
493	2835	2904
494	2841	2899
495	2847	2893
496	2852	2887
497	2859	2882
498	2864	2876
499	2870	2870
500	2876	2864
501	2881	2858
502	2889	2855
503	2894	2848
504	2899	2841
505	2905	2836
506	2910	2830
507	2915	2823
508	2921	2817
509	2925	2811
510	2930	2804
511	2936	2799
512	2941	2792
513	2946	2785
514	2952	2780
515	2957	2773
516	2962	2767
517	2967	2761
518	2972	2755
519	2978	2749
520	2984	2743
521	2989	2737
522	2994	2731
523	3000	2725
524	3005	2719
525	3010	2712
526	3016	2707
527	3022	2702
528	3027	2695
529	3034	2691
530	3039	2684
531	3044	2678
532	3050	2672
533	3054	2665
534	3059	2659
535	3065	2653
536	3070	2647
537	3075	2641
538	3081	2635
539	3086	2629
540	3092	2623
541	3098	2618
542	3103	2611
543	3108	2605
544	3114	2599
545	3120	2594
546	3125	2588
547	3132	2583
548	3138	2578
549	3146	2574
550	3152	2568
551	3158	2563
552	3164	2557
553	3169	2551
554	3175	2546
555	3181	2540
556	3186	2534
557	3193	2529
558	3198	2523
559	3202	2516
560	3207	2510
561	3213	2504
562	3218	2498
563	3223	2491
564	3229	2486
565	3233	2479
566	3239	2473
567	3246	2469
568	3251	2462
569	3260	2459
570	3265	2453
571	3272	2448
572	3279	2443
573	3285	2438
574	3293	2434
575	3299	2429
576	3306	2424
577	3312	2418
578	3318	2412
579	3324	2407
580	3330	2401
581	3336	2396
582	3342	2390
583	3347	2384
584	3353	2378
585	3359	2373
586	3364	2367
587	3371	2362
588	3377	2356
589	3383	2351
590	3390	2346
591	3395	2340
592	3401	2334
593	3407	2329
594	3413	2323
595	3419	2317
596	3425	2312
597	3432	2307
598	3439	2302
599	3445	2297
600	3453	2292
601	3459	2286
602	3466	2281
603	3473	2277
604	3480	2272
605	3488	2268
606	3495	2263
607	3502	2258
608	3509	2253
609	3516	2248
610	3523	2243
611	3530	2238
612	3537	2233
613	3544	2228
614	3551	2223
615	3558	2218
616	3566	2213
617	3572	2208
618	3580	2203
619	3587	2198
620	3594	2194
621	3601	2188
622	3607	2183
623	3615	2178
624	3621	2172
625	3629	2168
626	3636	2163
627	3643	2158
628	3649	2152
629	3655	2146
630	3664	2142
631	3670	2137
632	3677	2132
633	3684	2127
634	3692	2122
635	3699	2117
636	3707	2112
637	3714	2107
638	3721	2102
639	3728	2097
640	3734	2091
641	3743	2087
642	3750	2082
643	3758	2077
644	3765	2072
645	3774	2068
646	3780	2062
647	3788	2058
648	3796	2053
649	3805	2048
650	3813	2044
651	3821	2039
652	3828	2034
653	3835	2029
654	3842	2024
655	3849	2018
656	3857	2013
657	3863	2008
658	3871	2003
659	3878	1997
660	3885	1992
661	3892	1987
662	3898	1981
663	3907	1977
664	3915	1972
665	3922	1967
666	3930	1962
667	3937	1956
668	3942	1950
669	3949	1945
670	3955	1939
671	3961	1933
672	3967	1927
673	3973	1921
674	3980	1916
675	3987	1911
676	3993	1905
677	4000	1899
678	4006	1894
679	4013	1888
680	4019	1882
681	4026	1877
682	4033	1871
683	4038	1865
684	4045	1860
685	4050	1854
686	4056	1848
687	4063	1842
688	4069	1836
689	4074	1830
690	4080	1824
691	4086	1818
692	4094	1813
693	4100	1807
694	4105	1801
695	4111	1796
696	4118	1790
697	4126	1785
698	4132	1779
699	4138	1773
700	4144	1767
701	4150	1761
702	4157	1756
703	4163	1750
704	4170	1745
705	4177	1739
706	4183	1733
707	4191	1728
708	4197	1722
709	4204	1717
710	4210	1711
711	4217	1705
712	4224	1700
713	4229	1694
714	4235	1688
715	4241	1682
716	4247	1676
717	4253	1670
718	4259	1664
719	4265	1658
720	4272	1653
721	4277	1647
722	4284	1641
723	4291	1636
724	4297	1630
725	4304	1624
726	4310	1618
727	4316	1612
728	4322	1606
729	4328	1601
730	4336	1595
731	4341	1589
732	4347	1583
733	4353	1577
734	4359	1571
735	4366	1566
736	4372	1560
737	4377	1554
738	4385	1548
739	4392	1543
740	4400	1538
741	4407	1532
742	4415	1527
743	4422	1521
744	4430	1516
745	4438	1511
746	4445	1505
747	4451	1499
748	4457	1493
749	4464	1488
750	4469	1482
751	4476	1476
752	4482	1470
753	4489	1464
754	4495	1458
755	4501	1452
756	4507	1446
757	4513	1441
758	4519	1435
759	4526	1429
760	4532	1423
761	4536	1417
762	4543	1411
763	4549	1405
764	4555	1399
765	4561	1393
766	4568	1387
767	4575	1382
768	4580	1375
769	4586	1369
770	4592	1363
771	4597	1357
772	4603	1351
773	4609	1345
774	4614	1339
775	4621	1334
776	4627	1328
777	4634	1322
778	4640	1316
779	4645	1310
780	4651	1304
781	4658	1298
782	4663	1292
783	4670	1286
784	4675	1280
785	4681	1274
786	4688	1268
787	4693	1262
788	4699	1256
789	4705	1250
790	4712	1245
791	4718	1239
792	4725	1233
793	4732	1227
794	4739	1222
795	4744	1215
796	4751	1210
797	4757	1204
798	4763	1198
799	4769	1192
800	4775	1186
801	4781	1180
802	4787	1174
803	4792	1168
804	4799	1162
805	4804	1156
806	4810	1150
807	4817	1144
808	4823	1138
809	4831	1133
810	4836	1127
811	4842	1121
812	4849	1115
813	4854	1109
814	4861	1103
815	4868	1097
816	4874	1091
817	4881	1086
818	4887	1080
819	4894	1074
820	4900	1068
821	4905	1062
822	4912	1056
823	4918	1050
824	4923	1044
825	4929	1038
826	4935	1032
827	4943	1026
828	4948	1020
829	4954	1014
830	4961	1008
831	4966	1002
832	4973	997
833	4979	991
834	4984	984
835	4990	979
836	4996	973
837	5002	966
838	5009	961
839	5014	955
840	5021	949
841	5027	943
842	5033	937
843	5040	931
844	5046	925
845	5051	919
846	5058	913
847	5063	907
848	5070	901
849	5075	895
850	5081	889
851	5087	883
852	5093	877
853	5098	871
854	5106	865
855	5111	859
856	5118	854
857	5123	848
858	5131	842
859	5138	836
860	5145	830
861	5152	824
862	5164	819
863	5171	814
864	5176	807
865	5183	802
866	5189	796
867	5195	790
868	5202	784
869	5208	778
870	5214	772
871	5220	766
872	5226	760
873	5232	754
874	5238	748
875	5245	742
876	5252	736
877	5257	730
878	5265	724
879	5270	718
880	5277	712
881	5283	706
882	5288	700
883	5295	694
884	5301	688
885	5307	682
886	5313	676
887	5318	670
888	5325	664
889	5330	658
890	5336	652
891	5344	647
892	5350	641
893	5355	635
894	5362	629
895	5368	623
896	5375	617
897	5383	611
898	5390	605
899	5397	599
900	5402	593
901	5409	587
902	5415	581
903	5422	575
904	5427	569
905	5433	563
906	5440	557
907	5446	551
908	5451	545
909	5458	539
910	5464	533
911	5470	527
912	5475	521
913	5481	515
914	5488	509
915	5493	503
916	5499	497
917	5506	491
918	5511	485
919	5517	479
920	5523	473
921	5529	467
922	5535	461
923	5540	455
924	5547	449
925	5554	443
926	5559	437
927	5565	431
928	5571	425
929	5577	419
930	5584	413
931	5590	407
932	5597	401
933	5603	395
934	5610	390
935	5617	384
936	5624	378
937	5631	372
938	5638	366
