Home_Team,Away_Team,Home_win,Draw,Away_win
Pohang Steelers,Gangwon,1.91,3.40,4.00
Ulsan,Jeju United,1.83,3.50,4.20
Jeonbuk Motors,Incheon United,1.60,3.70,5.80
Seongnam,Daegu,2.92,3.45,2.23
Sangju Sangmu,Suwon Bluewings,2.38,3.30,2.73
Suwon,FC Seoul,2.76,3.60,2.28
FC Seoul,Seongnam,1.67,3.50,4.50
Incheon United,Pohang Steelers,3.25,3.00,2.10
Daegu,Sangju Sangmu,2.35,3.20,2.70
Jeju United,Jeonbuk Motors,2.50,3.10,2.50
Suwon Bluewings,Suwon,2.20,3.10,2.90
Gangwon,Ulsan,3.50,3.10,1.95
Suwon,Seongnam,1.94,3.65,3.45
FC Seoul,Sangju Sangmu,2.01,3.40,3.45
Suwon Bluewings,Daegu,2.25,3.50,2.87
Incheon United,Jeju United,3.60,3.45,1.94
Jeonbuk Motors,Gangwon,1.74,3.60,4.40
Pohang Steelers,Ulsan,3.15,3.45,2.37
Daegu,Suwon,2.13,3.60,3.22
Sangju Sangmu,Seongnam,1.80,3.38,4.05
Suwon Bluewings,FC Seoul,2.80,3.15,2.36
Gangwon,Incheon United,2.44,3.10,2.63
Ulsan,Jeonbuk Motors,1.95,3.30,3.40
Pohang Steelers,Jeju United,1.86,3.35,3.65
Seongnam,Suwon Bluewings,3.23,3.34,2.33
Suwon,Sangju Sangmu,2.15,3.50,3.10
Jeju United,Gangwon,1.95,3.40,3.75
Jeonbuk Motors,Pohang Steelers,2.25,3.25,3.10
Incheon United,Ulsan,4.75,3.40,1.80
FC Seoul,Daegu,2.00,3.30,3.70
Sangju Sangmu,Incheon United,2.30,3.50,3.05
Gangwon,Jeju United,2.60,3.45,2.65
Seongnam,Pohang Steelers,4.50,3.70,1.80
Suwon Bluewings,Jeonbuk Motors,3.20,3.40,2.25
Daegu,FC Seoul,2.70,3.50,2.55
Ulsan,Suwon,1.51,4.60,6.00
Suwon Bluewings,Pohang Steelers,2.20,3.10,3.15
Jeonbuk Motors,Seongnam,1.50,4.10,5.75
