Home_Team,Away_Team,Home_win,Draw,Away_win
Daegu,Incheon United,2.50,3.40,2.59
Gwangju,Pohang Steelers,2.06,3.55,3.20
Ulsan,Jeonbuk Motors,2.38,3.65,2.59
Suwon Bluewings,Gangwon,2.35,3.42,2.94
Suwon,Jeju United,2.32,3.84,2.73
Daejeon Citizen,FC Seoul,2.77,3.64,2.37
Gangwon,Suwon,2.05,3.50,3.20
FC Seoul,Suwon Bluewings,1.69,3.80,4.33
Pohang Steelers,Daegu,1.96,3.30,3.80
Jeonbuk Motors,Gwangju,2.10,3.35,3.40
Jeju United,Daejeon Citizen,2.10,3.70,3.20
Incheon United,Ulsan,2.92,3.46,2.34
Ulsan,Pohang Steelers,2.04,3.51,3.60
Suwon,Suwon Bluewings,2.40,3.30,2.88
Incheon United,Jeonbuk Motors,2.90,3.10,2.50
Jeju United,FC Seoul,2.31,3.20,2.58
Daegu,Gwangju,2.68,2.95,2.38
Daejeon Citizen,Gangwon,2.20,3.30,3.00
Suwon,FC Seoul,5.91,4.14,1.43
Suwon Bluewings,Daejeon Citizen,2.34,3.15,2.58
Ulsan,Daegu,1.75,3.25,3.95
Gangwon,Jeju United,2.47,3.40,2.62
Gwangju,Incheon United,2.12,3.35,3.25
Jeonbuk Motors,Pohang Steelers,2.20,3.25,3.05
Daejeon Citizen,Suwon,1.91,3.60,3.60
FC Seoul,Gangwon,1.78,3.60,4.20
Jeju United,Suwon Bluewings,2.00,3.50,3.40
Daegu,Jeonbuk Motors,2.63,3.10,2.63
Gwangju,Ulsan,2.80,3.05,2.50
Pohang Steelers,Incheon United,1.95,3.50,4.00
Daejeon Citizen,Jeju United,2.40,3.30,2.90
Gwangju,Gangwon,1.95,3.30,4.00
Suwon Bluewings,Pohang Steelers,3.90,3.40,1.91
FC Seoul,Jeonbuk Motors,2.30,3.25,3.13
Daegu,Suwon,1.73,3.60,4.80
Ulsan,Incheon United,1.80,3.70,4.20
Jeju United,Gwangju,2.55,3.10,2.55
Gangwon,Daejeon Citizen,2.35,3.20,2.75
Incheon United,Suwon Bluewings,1.90,3.10,3.55
Jeonbuk Motors,Daegu,1.85,3.10,3.75
Suwon,FC Seoul,3.10,3.50,2.10
Pohang Steelers,Ulsan,2.50,3.30,2.65
Daegu,Pohang Steelers,2.80,3.25,2.60
Gangwon,Incheon United,2.70,3.35,2.65
Gwangju,Jeonbuk Motors,2.50,3.30,2.75
Suwon,Ulsan,4.50,3.90,1.70
Jeju United,FC Seoul,2.62,3.50,2.56
Daejeon Citizen,Suwon Bluewings,2.14,3.26,2.83
Suwon Bluewings,Daegu,2.70,3.05,2.43
FC Seoul,Gwangju,2.18,3.11,2.85
Ulsan,Daejeon Citizen,1.56,4.15,5.00
Pohang Steelers,Suwon,1.48,4.33,5.50
Incheon United,Jeju United,2.55,3.25,2.75
