H/A,결과,Draw,year,Team_win,Opponent_win,Team_득점_avg,Team_vs_Opponent_득점_avg,Team_슈팅_avg,Team_vs_Opponent_슈팅_avg,Team_유효 슈팅_avg,Team_vs_Opponent_유효 슈팅_avg,Team_PA내 슈팅_avg,Team_vs_Opponent_PA내 슈팅_avg,Team_드리블 시도_avg,Team_vs_Opponent_드리블 시도_avg,Team_드리블 성공_avg,Team_vs_Opponent_드리블 성공_avg,Team_드리블 성공%_avg,Team_vs_Opponent_드리블 성공%_avg,Team_패스 시도_avg,Team_vs_Opponent_패스 시도_avg,Team_패스 성공_avg,Team_vs_Opponent_패스 성공_avg,Team_패스 성공%_avg,Team_vs_Opponent_패스 성공%_avg,Team_키패스_avg,Team_vs_Opponent_키패스_avg,Team_공격진영 패스 시도_avg,Team_vs_Opponent_공격진영 패스 시도_avg,Team_공격진영 패스 성공_avg,Team_vs_Opponent_공격진영 패스 성공_avg,Team_공격진영 패스 성공%_avg,Team_vs_Opponent_공격진영 패스 성공%_avg,Team_수비진영 패스 시도_avg,Team_vs_Opponent_수비진영 패스 시도_avg,Team_수비진영 성공_avg,Team_vs_Opponent_수비진영 성공_avg,Team_수비진영 성공%_avg,Team_vs_Opponent_수비진영 성공%_avg,Team_롱패스 시도_avg,Team_vs_Opponent_롱패스 시도_avg,Team_롱패스 성공_avg,Team_vs_Opponent_롱패스 성공_avg,Team_롱패스 성공%_avg,Team_vs_Opponent_롱패스 성공%_avg,Team_크로스 시도_avg,Team_vs_Opponent_크로스 시도_avg,Team_크로스 성공_avg,Team_vs_Opponent_크로스 성공_avg,Team_크로스 성공%_avg,Team_vs_Opponent_크로스 성공%_avg,Team_경합 지상 성공_avg,Team_vs_Opponent_경합 지상 성공_avg,Team_경합 지상 성공%_avg,Team_vs_Opponent_경합 지상 성공%_avg,Team_경합 공중 시도_avg,Team_vs_Opponent_경합 공중 시도_avg,Team_경합 공중 성공_avg,Team_vs_Opponent_경합 공중 성공_avg,Team_경합 공중 성공%_avg,Team_vs_Opponent_경합 공중 성공%_avg,Team_태클 시도_avg,Team_vs_Opponent_태클 시도_avg,Team_태클 성공_avg,Team_vs_Opponent_태클 성공_avg,Team_태클 성공%_avg,Team_vs_Opponent_태클 성공%_avg,Team_클리어링_avg,Team_vs_Opponent_클리어링_avg,Team_인터셉트_avg,Team_vs_Opponent_인터셉트_avg,Team_파울_avg,Team_vs_Opponent_파울_avg,Team_경고_avg,Team_vs_Opponent_경고_avg,Team_퇴장_avg,Team_vs_Opponent_퇴장_avg,Team_실점_avg,Team_vs_Opponent_실점_avg,Team_Attack_Ratingshifted1,Team_Attack_Ratingshifted2,Team_Defense_Ratingshifted1,Team_Defense_Ratingshifted2,Team_Basic_Ratingshifted1,Team_Basic_Ratingshifted2,Team_Ratingshifted1,Team_Ratingshifted2,Opponent_Team_Attack_Ratingshifted1,Opponent_Team_Attack_Ratingshifted2,Opponent_Team_Defense_Ratingshifted1,Opponent_Team_Defense_Ratingshifted2,Opponent_Team_Basic_Ratingshifted1,Opponent_Team_Basic_Ratingshifted2,Opponent_Team_Ratingshifted1,Opponent_Team_Ratingshifted2,Team_Impact_Score,Team_강원,Team_경남,Team_광주,Team_대구,Team_대전,Team_부산,Team_상주,Team_서울,Team_성남,Team_수원,Team_수원FC,Team_울산,Team_인천,Team_전남,Team_전북,Team_제주,Team_포항,상대팀_강원,상대팀_경남,상대팀_광주,상대팀_대구,상대팀_대전,상대팀_부산,상대팀_상주,상대팀_서울,상대팀_성남,상대팀_수원,상대팀_수원FC,상대팀_울산,상대팀_인천,상대팀_전남,상대팀_전북,상대팀_제주,상대팀_포항
1,2,3.3,0,2.7,2.7,2.0,2.0,11.8,14.0,6.0,3.0,8.0,0.0,13.8,0.0,7.2,0.0,48.78,0.0,405.0,0.0,308.8,0.0,75.98,0.0,8.2,0.0,216.2,0.0,128.8,0.0,59.2,0.0,203.8,0.0,183.6,0.0,89.88,0.0,70.0,0.0,31.0,0.0,43.8,0.0,15.0,0.0,3.6,0.0,23.419999999999998,0.0,47.2,0.0,45.080000000000005,0.0,39.4,0.0,17.6,0.0,44.440000000000005,0.0,13.6,0.0,8.2,0.0,59.760000000000005,0.0,26.6,0.0,9.8,0.0,11.6,16.0,1.8,2.0,0.2,0.0,1.6,1.0,1642.0669285371418,1561.8138665751583,1595.7176337328344,1552.3531323292798,1647.4903227661885,1555.63041010334,1628.4249616787213,1556.599136335926,1727.2952062162876,1556.4915349012365,1681.290018614267,1530.238143016448,1756.6028377432715,1554.3024934364905,1721.7293541912752,1547.010723784725,-0.775853451138612,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3.3,0,2.8,2.4,1.8,2.0,11.6,9.0,6.0,6.0,7.4,8.0,12.0,8.0,6.4,1.0,53.44,12.5,399.2,339.0,309.8,248.0,77.2,73.2,8.0,9.0,211.4,177.0,129.2,102.0,60.620000000000005,57.6,202.8,177.0,184.6,149.0,90.78,84.2,65.8,63.0,28.8,33.0,43.8,52.4,15.0,15.0,4.0,3.0,25.939999999999998,20.0,45.0,67.0,44.2,52.3,38.8,54.0,16.2,32.0,41.2,59.3,12.4,17.0,7.8,14.0,61.7,82.4,28.6,40.0,7.4,7.0,12.4,17.0,2.2,2.0,0.2,0.0,1.8,1.0,1636.886351807254,1553.1243438719218,1597.9883592684116,1550.0601692495366,1654.6154317837172,1554.4543306176467,1629.8300476197944,1552.5462812463684,1684.5230996506095,1512.2826074224438,1638.0127839718969,1510.2831718702703,1699.867084450033,1524.5166901860966,1674.1343226908466,1515.6941564929368,-0.4204673360900335,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,3.45,0,2.85,2.85,1.2,1.0,12.0,19.0,5.8,13.0,8.2,8.0,10.8,7.0,5.8,5.0,55.660000000000004,71.4,424.2,447.0,333.2,353.0,78.3,79.0,9.2,14.0,226.4,258.0,143.6,167.0,63.040000000000006,64.7,216.0,213.0,195.0,192.0,90.1,90.1,65.0,73.0,31.4,41.0,48.64,56.2,18.2,24.0,5.4,6.0,28.32,25.0,47.2,42.0,44.839999999999996,46.2,37.4,36.0,15.8,15.0,41.9,41.7,12.4,10.0,7.2,8.0,56.7,80.0,26.0,24.0,9.0,11.0,13.0,6.0,2.4,1.0,0.0,0.0,1.8,3.0,1622.0359090588,1579.103314160018,1577.997367278443,1559.7919043989937,1649.9575642941707,1575.9883660657679,1616.6636135438046,1571.6278615415931,1652.0451908691791,1620.599392309651,1642.522914250276,1602.5106122263173,1705.5949452221782,1627.6437329888374,1666.7210167805445,1616.9179125082685,-0.49059145227830026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3.5,0,2.2,3.0,1.4,4.0,14.0,11.0,6.4,8.0,9.6,7.0,10.0,18.0,6.2,13.0,61.260000000000005,72.2,420.6,321.0,330.6,238.0,78.36,74.1,11.0,5.0,237.4,177.0,156.2,98.0,65.26,55.4,203.2,158.0,180.2,143.0,88.2,90.5,58.2,64.0,26.4,24.0,45.92,37.5,20.0,14.0,5.8,3.0,27.939999999999998,21.4,47.2,53.0,45.36,51.0,35.4,46.0,15.2,22.0,42.76,47.8,12.6,12.0,7.0,8.0,54.120000000000005,66.7,25.4,38.0,9.8,8.0,12.8,9.0,2.0,1.0,0.0,1.0,1.4,1.0,1643.4333450356758,1608.5083524815516,1601.146459900485,1576.8705389509814,1676.8209291257974,1615.4397920719084,1640.466911353986,1600.2728945014806,1665.835399740092,1564.7334154967748,1657.5610556312702,1562.3299333641814,1716.15482112032,1598.195285882949,1679.8504254972274,1575.0862115813018,0.3496060761869044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,3.4,0,2.35,2.35,1.6,2.0,12.6,10.0,5.6,6.0,9.2,8.0,10.0,16.0,6.8,6.0,66.7,37.5,450.2,367.0,355.8,246.0,79.06,67.0,10.0,9.0,263.0,258.0,176.6,150.0,66.92,58.1,208.6,130.0,185.6,104.0,88.6,80.0,61.0,77.0,29.4,29.0,48.120000000000005,37.7,21.4,21.0,6.4,8.0,29.4,38.1,55.4,66.0,48.44,50.8,38.8,49.0,19.0,23.0,47.08,46.9,13.8,22.0,8.6,14.0,59.7,63.6,21.6,13.0,10.4,19.0,13.4,9.0,2.4,0.0,0.0,0.0,1.6,1.0,1666.3584267426363,1532.233844339985,1622.0863623904775,1526.21550455288,1693.7903709775435,1530.2322627590966,1660.7450533702192,1529.5605372173204,1681.5891427343672,1540.0234617278313,1657.5844690972947,1518.0476105288276,1732.1842319065336,1553.1584384778876,1690.4526145793986,1537.0765035781824,2.3188050832920797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,1,3.3,0,2.85,2.85,1.2,0.0,13.2,17.0,6.0,8.0,9.6,8.0,11.0,11.0,7.6,5.0,70.94,45.5,447.6,343.0,356.4,252.0,79.64,73.5,10.8,13.0,281.2,194.0,194.4,114.0,69.17999999999999,58.8,191.0,164.0,169.2,141.0,88.36,86.0,62.0,67.0,33.0,29.0,52.6,43.3,24.6,15.0,7.2,3.0,30.340000000000003,20.0,61.0,41.0,50.67999999999999,43.2,40.0,37.0,21.0,16.0,51.04,43.2,15.2,11.0,10.2,6.0,65.0,54.5,20.4,35.0,11.0,4.0,14.4,10.0,2.0,1.0,0.0,0.0,1.6,0.0,1670.8665593630228,1618.482357054736,1611.4796546561706,1569.3902713111938,1685.9795554074187,1620.4189383588555,1656.1085898088706,1602.7638555749284,1665.8176893602151,1780.3317084932455,1617.2455885418747,1719.6159923235743,1671.6750422940038,1800.8394908913767,1651.5794400653647,1766.9290639027322,2.158798525649267,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,3.2,0,2.7,2.55,1.2,1.0,13.0,16.0,6.4,8.0,10.2,12.0,12.0,12.0,8.2,5.0,68.82000000000001,41.7,443.2,513.0,346.6,402.0,78.17999999999999,78.4,11.4,14.0,287.0,303.0,195.2,204.0,67.98,67.3,180.4,231.0,157.4,204.0,87.2,88.3,68.2,75.0,35.0,45.0,51.0,60.0,24.2,21.0,6.0,6.0,23.0,28.6,61.6,58.0,51.42,58.6,43.2,32.0,22.4,21.0,51.32000000000001,65.6,14.0,21.0,9.2,16.0,63.6,76.2,22.8,16.0,12.2,8.0,13.8,6.0,1.8,0.0,0.0,1.0,1.0,3.0,1672.9478307283039,1559.667990576652,1609.4765223082766,1548.664137004097,1690.8911943821497,1564.6165999300197,1657.7718491395765,1557.649575836923,1814.1978884616794,1528.392781742998,1765.415199822346,1529.7173737122166,1882.6669216451987,1546.0245046433058,1820.7600033097413,1534.7115533661736,0.16917533750611236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,0,3.5,0,2.9,2.2,1.6,5.0,13.0,10.0,6.2,6.0,9.4,8.0,14.2,8.0,9.4,2.0,66.08000000000001,25.0,447.4,463.0,350.6,363.0,78.32000000000001,78.4,11.0,7.0,291.8,214.0,199.6,128.0,68.39999999999999,59.8,176.8,261.0,155.0,237.0,87.53999999999999,90.8,71.8,68.0,37.4,22.0,51.220000000000006,32.4,21.2,12.0,4.0,2.0,16.34,16.7,62.0,31.0,51.480000000000004,38.8,44.6,35.0,23.4,11.0,51.92,31.4,14.0,10.0,8.8,5.0,60.260000000000005,50.0,26.2,24.0,10.6,15.0,13.4,10.0,1.6,3.0,0.0,0.0,1.4,3.0,1695.352410607515,1642.0669285371418,1621.0888655415756,1595.7176337328344,1714.3859189735329,1647.4903227661885,1676.9423983742079,1628.4249616787213,1711.2082026774433,1727.2952062162876,1699.6354399447212,1681.290018614267,1785.6224144814419,1756.6028377432715,1732.1553523678685,1721.7293541912752,2.456726102059626,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,2,3.6,0,3.9,3.9,2.0,2.0,12.0,6.0,6.4,4.0,7.8,9.0,13.4,12.0,8.8,5.0,65.58,41.7,452.4,376.0,352.2,257.0,77.78,68.4,10.0,6.0,280.0,226.0,186.2,117.0,66.03999999999999,51.8,192.2,176.0,169.4,145.0,88.22,82.4,77.8,77.0,40.2,29.0,51.720000000000006,37.7,19.8,26.0,3.4,5.0,15.16,19.2,61.4,66.0,52.5,48.9,46.8,67.0,24.6,35.0,52.220000000000006,52.2,13.0,16.0,8.4,11.0,62.0,68.8,25.4,39.0,12.4,6.0,12.4,20.0,1.8,3.0,0.0,0.0,1.6,3.0,1723.3846273996717,1558.844621002353,1647.5039998800319,1556.8017802333063,1744.2332633161345,1571.57021193659,1705.0406301986125,1562.4055377240832,1860.1210308732068,1605.7945048017218,1787.905873581813,1571.9681340866005,1892.5233809121253,1615.2122145498663,1846.8500951223816,1597.6582844793963,1.1421051389254084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,3.35,0,2.1,3.25,1.8,1.0,12.4,11.0,6.4,3.0,7.8,8.0,13.6,15.0,8.4,9.0,61.04,60.0,445.6,472.0,349.8,362.0,78.4,76.7,10.6,8.0,272.6,271.0,182.4,173.0,66.44,63.8,191.8,217.0,170.4,194.0,88.91999999999999,89.4,78.0,67.0,39.4,35.0,50.62,52.2,18.8,16.0,3.0,5.0,14.4,31.2,57.8,62.0,51.02,51.2,44.4,36.0,22.4,20.0,50.68,55.6,14.4,23.0,8.2,14.0,56.36,60.9,27.6,10.0,14.2,16.0,12.4,14.0,1.6,1.0,0.0,0.0,1.8,2.0,1713.0445552500923,1549.1093562411409,1656.5528559138281,1558.8531268080276,1756.7056770610818,1580.8140432462621,1708.7676960750007,1562.9255087651436,1753.8382265714893,1582.2810226380655,1700.5483817496613,1587.3528852891734,1796.0973799343888,1600.7268493153035,1750.1613294185129,1590.1202524141809,2.336370847978829,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
